2023-03-10 18:43:37.865613 Epoch [000/025], Step [0060/0253], [lateral-3: 1.0998], [lateral-2: 1.1748], [lateral-1: 1.2626], [edge: 0.8015]
2023-03-10 18:44:02.910900 Epoch [000/025], Step [0120/0253], [lateral-3: 0.9847], [lateral-2: 1.0681], [lateral-1: 1.1780], [edge: 0.7403]
2023-03-10 18:44:28.015088 Epoch [000/025], Step [0180/0253], [lateral-3: 0.9301], [lateral-2: 1.0121], [lateral-1: 1.1329], [edge: 0.6968]
2023-03-10 18:44:53.260509 Epoch [000/025], Step [0240/0253], [lateral-3: 0.8872], [lateral-2: 0.9678], [lateral-1: 1.0975], [edge: 0.6637]
2023-03-10 18:45:03.192310 Epoch [000/025], Step [0253/0253], [lateral-3: 0.8790], [lateral-2: 0.9592], [lateral-1: 1.0904], [edge: 0.6584]
2023-03-10 18:45:29.366698 Epoch [001/025], Step [0060/0253], [lateral-3: 0.6718], [lateral-2: 0.7460], [lateral-1: 0.9164], [edge: 0.5210]
2023-03-10 18:45:54.553110 Epoch [001/025], Step [0120/0253], [lateral-3: 0.6603], [lateral-2: 0.7307], [lateral-1: 0.9030], [edge: 0.5120]
2023-03-10 18:46:19.712601 Epoch [001/025], Step [0180/0253], [lateral-3: 0.6523], [lateral-2: 0.7157], [lateral-1: 0.8873], [edge: 0.5065]
2023-03-10 18:46:44.946422 Epoch [001/025], Step [0240/0253], [lateral-3: 0.6430], [lateral-2: 0.6995], [lateral-1: 0.8696], [edge: 0.5018]
2023-03-10 18:46:50.180383 Epoch [001/025], Step [0253/0253], [lateral-3: 0.6430], [lateral-2: 0.6983], [lateral-1: 0.8677], [edge: 0.5014]
2023-03-10 18:47:16.443338 Epoch [002/025], Step [0060/0253], [lateral-3: 0.5535], [lateral-2: 0.5833], [lateral-1: 0.7542], [edge: 0.4623]
2023-03-10 18:47:41.693085 Epoch [002/025], Step [0120/0253], [lateral-3: 0.5545], [lateral-2: 0.5775], [lateral-1: 0.7439], [edge: 0.4555]
2023-03-10 18:48:06.895456 Epoch [002/025], Step [0180/0253], [lateral-3: 0.5561], [lateral-2: 0.5747], [lateral-1: 0.7379], [edge: 0.4538]
2023-03-10 18:48:32.090468 Epoch [002/025], Step [0240/0253], [lateral-3: 0.5536], [lateral-2: 0.5681], [lateral-1: 0.7273], [edge: 0.4520]
2023-03-10 18:48:37.337188 Epoch [002/025], Step [0253/0253], [lateral-3: 0.5542], [lateral-2: 0.5674], [lateral-1: 0.7256], [edge: 0.4515]
2023-03-10 18:49:03.775347 Epoch [003/025], Step [0060/0253], [lateral-3: 0.5060], [lateral-2: 0.5017], [lateral-1: 0.6459], [edge: 0.4354]
2023-03-10 18:49:29.045783 Epoch [003/025], Step [0120/0253], [lateral-3: 0.5057], [lateral-2: 0.4955], [lateral-1: 0.6330], [edge: 0.4273]
2023-03-10 18:49:54.250648 Epoch [003/025], Step [0180/0253], [lateral-3: 0.4993], [lateral-2: 0.4863], [lateral-1: 0.6194], [edge: 0.4254]
2023-03-10 18:50:19.516896 Epoch [003/025], Step [0240/0253], [lateral-3: 0.5022], [lateral-2: 0.4873], [lateral-1: 0.6159], [edge: 0.4262]
2023-03-10 18:50:24.758277 Epoch [003/025], Step [0253/0253], [lateral-3: 0.5036], [lateral-2: 0.4885], [lateral-1: 0.6159], [edge: 0.4268]
2023-03-10 18:50:51.178542 Epoch [004/025], Step [0060/0253], [lateral-3: 0.4674], [lateral-2: 0.4391], [lateral-1: 0.5485], [edge: 0.4037]
2023-03-10 18:51:16.456135 Epoch [004/025], Step [0120/0253], [lateral-3: 0.4704], [lateral-2: 0.4420], [lateral-1: 0.5462], [edge: 0.4083]
2023-03-10 18:51:41.706928 Epoch [004/025], Step [0180/0253], [lateral-3: 0.4754], [lateral-2: 0.4449], [lateral-1: 0.5426], [edge: 0.4074]
2023-03-10 18:52:07.030771 Epoch [004/025], Step [0240/0253], [lateral-3: 0.4752], [lateral-2: 0.4438], [lateral-1: 0.5378], [edge: 0.4060]
